id,pclass,survived,sex,age,sibsp,parch,embarked
78,1,0,1,37,1,1,0
79,1,1,0,64,0,2,0
80,1,1,0,55,2,0,2
81,1,0,1,,0,0,2
82,1,0,1,70,1,1,2
83,1,1,0,36,0,2,2
84,1,1,0,64,1,1,2
85,1,0,1,39,1,0,0
86,1,1,0,38,1,0,0
87,1,1,1,51,0,0,2
88,1,1,1,27,0,0,2
89,1,1,0,33,0,0,2
90,1,0,1,31,1,0,2
91,1,1,0,27,1,2,2
92,1,1,1,31,1,0,2
93,1,1,0,17,1,0,2
94,1,1,1,53,1,1,2
95,1,1,1,4,0,2,2
96,1,1,0,54,1,1,2
97,1,0,1,50,1,0,0
98,1,1,0,27,1,1,0
99,1,1,0,48,1,0,0
100,1,1,0,48,1,0,0
101,1,1,1,49,1,0,0
102,1,0,1,39,0,0,0
103,1,1,0,23,0,1,0
104,1,1,0,38,0,0,0
105,1,1,0,54,1,0,0
106,1,0,0,36,0,0,0
107,1,0,1,,0,0,2
108,1,1,0,,0,0,2
109,1,1,0,,0,0,0
110,1,1,1,36,0,0,2
111,1,0,1,30,0,0,0
112,1,1,0,24,3,2,2
113,1,1,0,28,3,2,2
114,1,1,0,23,3,2,2
115,1,0,1,19,3,2,2
116,1,0,1,64,1,4,2
117,1,1,0,60,1,4,2
118,1,1,0,30,0,0,0
119,1,0,1,,0,0,2
120,1,1,1,50,2,0,2
121,1,1,1,43,1,0,0
122,1,1,0,,1,0,2
123,1,1,0,22,0,2,0
124,1,1,1,60,1,1,0
125,1,1,0,48,1,1,0
126,1,0,1,,0,0,2
127,1,0,1,37,1,0,2
128,1,1,0,35,1,0,2
129,1,0,1,47,0,0,2
130,1,1,0,35,0,0,0
131,1,1,0,22,0,1,0
132,1,1,0,45,0,1,0
133,1,0,1,24,0,0,0
134,1,1,1,49,1,0,0
135,1,1,0,,1,0,0
136,1,0,1,71,0,0,0
137,1,1,1,53,0,0,0
138,1,1,0,19,0,0,2
139,1,0,1,38,0,1,2
140,1,1,0,58,0,1,2
141,1,1,1,23,0,1,0
142,1,1,0,45,0,1,0
143,1,0,1,46,0,0,0
144,1,1,1,25,1,0,0
145,1,1,0,25,1,0,0
146,1,1,1,48,1,0,0
147,1,1,0,49,1,0,0
148,1,0,1,,0,0,2
149,1,0,1,45,1,0,2
150,1,1,0,35,1,0,2
151,1,0,1,40,0,0,2
152,1,1,1,27,0,0,0
153,1,1,1,,0,0,2
154,1,1,0,24,0,0,0
155,1,0,1,55,1,1,2
156,1,1,0,52,1,1,2
157,1,0,1,42,0,0,2
158,1,0,1,,0,0,2
159,1,0,1,55,0,0,2
160,1,1,0,16,0,1,0
161,1,1,0,44,0,1,0
162,1,1,0,51,1,0,2
163,1,0,1,42,1,0,2
164,1,1,0,35,1,0,2
165,1,1,1,35,0,0,0
166,1,1,1,38,1,0,2
167,1,0,1,,0,0,0
168,1,1,0,35,1,0,2
169,1,1,0,38,0,0,
170,1,0,0,50,0,0,0
171,1,1,1,49,0,0,2
172,1,0,1,46,0,0,2
173,1,0,1,50,0,0,2
174,1,0,1,32.5,0,0,0
175,1,0,1,58,0,0,0
176,1,0,1,41,1,0,2
177,1,1,0,,1,0,2
178,1,1,1,42,1,0,2
179,1,1,0,45,1,0,2
180,1,0,1,,0,0,2
181,1,1,0,39,0,0,2
182,1,1,0,49,0,0,2
183,1,1,0,30,0,0,0
184,1,1,1,35,0,0,0
185,1,0,1,,0,0,0
186,1,0,1,42,0,0,2
187,1,1,0,55,0,0,0
188,1,1,0,16,0,1,2
189,1,1,0,51,0,1,2
190,1,0,1,29,0,0,2
191,1,1,0,21,0,0,2
192,1,0,1,30,0,0,2
193,1,1,0,58,0,0,0
194,1,1,0,15,0,1,2
195,1,0,1,30,0,0,2
196,1,1,0,16,0,0,2
197,1,1,1,,0,0,0
198,1,0,1,19,1,0,2
199,1,1,0,18,1,0,2
200,1,1,0,24,0,0,0
201,1,0,1,46,0,0,0
202,1,0,1,54,0,0,2
203,1,1,1,36,0,0,2
204,1,0,1,28,1,0,0
205,1,1,0,,1,0,0
206,1,0,1,65,0,0,2
207,1,0,1,44,2,0,1
208,1,1,0,33,1,0,1
209,1,1,0,37,1,0,1
210,1,1,1,30,1,0,0
211,1,0,1,55,0,0,2
212,1,0,1,47,0,0,2
213,1,0,1,37,0,1,0
214,1,1,0,31,1,0,0
215,1,1,0,23,1,0,0
216,1,0,1,58,0,2,0
217,1,1,0,19,0,2,2
218,1,0,1,64,0,0,2
219,1,1,0,39,0,0,0
220,1,1,1,,0,0,0
221,1,1,0,22,0,1,0
222,1,0,1,65,0,1,0
223,1,0,1,28.5,0,0,0
224,1,0,1,,0,0,2
225,1,0,1,45.5,0,0,2
226,1,0,1,23,0,0,2
227,1,0,1,29,1,0,2
228,1,1,0,22,1,0,2
229,1,0,1,18,1,0,0
230,1,1,0,17,1,0,0
231,1,1,0,30,0,0,2
232,1,1,1,52,0,0,2
233,1,0,1,47,0,0,2
234,1,1,0,56,0,1,0
235,1,0,1,38,0,0,2
236,1,1,1,,0,0,2
237,1,0,1,22,0,0,0
238,1,0,1,,0,0,0
239,1,1,0,43,0,1,2
240,1,0,1,31,0,0,2
241,1,1,1,45,0,0,2
242,1,0,1,,0,0,2
243,1,1,0,33,0,0,0
244,1,0,1,46,0,0,0
245,1,0,1,36,0,0,0
246,1,1,0,33,0,0,2
247,1,0,1,55,1,0,0
248,1,1,0,54,1,0,0
249,1,0,1,33,0,0,2
250,1,1,1,13,2,2,0
251,1,1,0,18,2,2,0
252,1,1,0,21,2,2,0
253,1,0,1,61,1,3,0
254,1,1,0,48,1,3,0
255,1,1,1,,0,0,2
256,1,1,0,24,0,0,0
257,1,1,1,,0,0,2
258,1,1,0,35,1,0,0
259,1,1,0,30,0,0,0
260,1,1,1,34,0,0,2
261,1,1,0,40,0,0,2
262,1,1,1,35,0,0,2
263,1,0,1,50,1,0,2
264,1,1,0,39,1,0,2
265,1,1,1,56,0,0,0
266,1,1,1,28,0,0,2
267,1,0,1,56,0,0,2
268,1,0,1,56,0,0,0
269,1,0,1,24,1,0,2
270,1,0,1,,0,0,2
271,1,1,0,18,1,0,2
272,1,1,1,24,1,0,2
273,1,1,0,23,1,0,2
274,1,1,1,6,0,2,0
275,1,1,1,45,1,1,0
276,1,1,0,40,1,1,0
277,1,0,1,57,1,0,0
278,1,1,0,,1,0,0
279,1,1,1,32,0,0,0
280,1,0,1,62,0,0,2
281,1,1,1,54,1,0,0
282,1,1,0,43,1,0,0
283,1,1,0,52,1,0,0
284,1,0,1,,0,0,0
285,1,1,0,62,0,0,
286,1,0,1,67,1,0,2
287,1,0,0,63,1,0,2
288,1,0,1,61,0,0,2
289,1,1,0,48,0,0,2
290,1,1,0,18,0,2,2
291,1,0,1,52,1,1,2
292,1,1,0,39,1,1,2
293,1,1,1,48,1,0,2
294,1,1,0,,1,0,2
295,1,0,1,49,1,1,0
296,1,1,1,17,0,2,0
297,1,1,0,39,1,1,0
298,1,1,0,,0,0,0
299,1,1,1,31,0,0,0
300,1,0,1,40,0,0,0
301,1,0,1,61,0,0,2
302,1,0,1,47,0,0,2
303,1,1,0,35,0,0,0
304,1,0,1,64,1,0,0
305,1,1,0,60,1,0,0
306,1,0,1,60,0,0,2
307,1,0,1,54,0,1,2
308,1,0,1,21,0,1,2
309,1,1,0,55,0,0,0
310,1,1,0,31,0,2,2
311,1,0,1,57,1,1,2
312,1,1,0,45,1,1,2
313,1,0,1,50,1,1,0
314,1,0,1,27,0,2,0
315,1,1,0,50,1,1,0
316,1,1,0,21,0,0,2
317,1,0,1,51,0,1,0
318,1,1,1,21,0,1,0
319,1,0,1,,0,0,2
320,1,1,0,31,0,0,0
321,1,1,1,,0,0,2
322,1,0,1,62,0,0,2
323,1,1,0,36,0,0,0
324,2,0,1,30,1,0,0
325,2,1,0,28,1,0,0
326,2,0,1,30,0,0,2
327,2,0,1,18,0,0,2
328,2,0,1,25,0,0,2
329,2,0,1,34,1,0,2
330,2,1,0,36,1,0,2
331,2,0,1,57,0,0,2
332,2,0,1,18,0,0,2
333,2,0,1,23,0,0,2
334,2,1,0,36,0,0,2
335,2,0,1,28,0,0,2
336,2,0,1,51,0,0,2
337,2,1,1,32,1,0,2
338,2,1,0,19,1,0,2
339,2,0,1,28,0,0,2
340,2,1,1,1,2,1,2
341,2,1,0,4,2,1,2
342,2,1,0,12,2,1,2
343,2,1,0,36,0,3,2
344,2,1,1,34,0,0,2
345,2,1,0,19,0,0,2
346,2,0,1,23,0,0,2
347,2,0,1,26,0,0,2
348,2,0,1,42,0,0,2
349,2,0,1,27,0,0,2
350,2,1,0,24,0,0,2
351,2,1,0,15,0,2,2
352,2,0,1,60,1,1,2
353,2,1,0,40,1,1,2
354,2,1,0,20,1,0,2
355,2,0,1,25,1,0,2
356,2,1,0,36,0,0,2
357,2,0,1,25,0,0,2
358,2,0,1,42,0,0,2
359,2,1,0,42,0,0,2
360,2,1,1,0.8333,0,2,2
361,2,1,1,26,1,1,2
362,2,1,0,22,1,1,2
363,2,1,0,35,0,0,2
364,2,0,1,,0,0,2
365,2,0,1,19,0,0,2
366,2,0,0,44,1,0,2
367,2,0,1,54,1,0,2
368,2,0,1,52,0,0,2
369,2,0,1,37,1,0,2
370,2,0,0,29,1,0,2
371,2,1,0,25,1,1,2
372,2,1,0,45,0,2,2
373,2,0,1,29,1,0,2
374,2,1,0,28,1,0,2
375,2,0,1,29,0,0,2
376,2,0,1,28,0,0,2
377,2,1,1,24,0,0,2
378,2,1,0,8,0,2,2
379,2,0,1,31,1,1,2
380,2,1,0,31,1,1,2
381,2,1,0,22,0,0,2
382,2,0,0,30,0,0,2
383,2,0,0,,0,0,2
384,2,0,1,21,0,0,2
385,2,0,1,,0,0,2
386,2,1,1,8,1,1,2
387,2,0,1,18,0,0,2
388,2,1,0,48,0,2,2
389,2,1,0,28,0,0,2
390,2,0,1,32,0,0,2
391,2,0,1,17,0,0,2
392,2,0,1,29,1,0,0
393,2,1,0,24,1,0,0
394,2,0,1,25,0,0,2
395,2,0,1,18,0,0,2
396,2,1,0,18,0,1,2
397,2,1,0,34,0,1,2
398,2,0,1,54,0,0,2
399,2,1,1,8,0,2,2
400,2,0,1,42,1,1,2
401,2,1,0,34,1,1,2
402,2,1,0,27,1,0,0
403,2,1,0,30,1,0,0
404,2,0,1,23,0,0,2
405,2,0,1,21,0,0,2
406,2,0,1,18,0,0,2
407,2,0,1,40,1,0,2
408,2,1,0,29,1,0,2
409,2,0,1,18,0,0,2
410,2,0,1,36,0,0,2
411,2,0,1,,0,0,2
412,2,0,0,38,0,0,2
413,2,0,1,35,0,0,2
414,2,0,1,38,1,0,2
415,2,0,1,34,1,0,2
416,2,1,0,34,0,0,2
417,2,0,1,16,0,0,2
418,2,0,1,26,0,0,2
419,2,0,1,47,0,0,2
420,2,0,1,21,1,0,2
421,2,0,1,21,1,0,2
422,2,0,1,24,0,0,2
423,2,0,1,24,0,0,2
424,2,0,1,34,0,0,2
425,2,0,1,30,0,0,2
426,2,0,1,52,0,0,2
427,2,0,1,30,0,0,2
428,2,1,1,0.6667,1,1,2
429,2,1,0,24,0,2,2
430,2,0,1,44,0,0,2
431,2,1,0,6,0,1,2
432,2,0,1,28,0,1,2
433,2,1,1,62,0,0,2
434,2,0,1,30,0,0,2
435,2,1,0,7,0,2,2
436,2,0,1,43,1,1,2
437,2,1,0,45,1,1,2
438,2,1,0,24,1,2,2
439,2,1,0,24,1,2,2
440,2,0,1,49,1,2,2
441,2,1,0,48,1,2,2
442,2,1,0,55,0,0,2
443,2,0,1,24,2,0,2
444,2,0,1,32,2,0,2
445,2,0,1,21,2,0,2
446,2,0,0,18,1,1,2
447,2,1,0,20,2,1,2
448,2,0,1,23,2,1,2
449,2,0,1,36,0,0,2
450,2,1,0,54,1,3,2
451,2,0,1,50,0,0,2
452,2,0,1,44,1,0,2
453,2,1,0,29,1,0,2
454,2,0,1,21,0,0,2
455,2,1,1,42,0,0,2
456,2,0,1,63,1,0,2
457,2,0,0,60,1,0,2
458,2,0,1,33,0,0,2
459,2,1,0,17,0,0,2
460,2,0,1,42,1,0,2
461,2,1,0,24,2,1,2
462,2,0,1,47,0,0,2
463,2,0,1,24,2,0,2
464,2,0,1,22,2,0,2
465,2,0,1,32,0,0,2
466,2,1,0,23,0,0,0
467,2,0,1,34,1,0,2
468,2,1,0,24,1,0,2
469,2,0,0,22,0,0,2
470,2,1,0,,0,0,1
471,2,0,1,35,0,0,1
472,2,1,0,45,0,0,2
473,2,0,1,57,0,0,1
474,2,0,1,,0,0,2
475,2,0,1,31,0,0,2
476,2,0,0,26,1,1,2
477,2,0,1,30,1,1,2
478,2,0,1,,0,0,1
479,2,1,0,1,1,2,0
480,2,1,0,3,1,2,0
481,2,0,1,25,1,2,0
482,2,1,0,22,1,2,0
483,2,1,0,17,0,0,0
484,2,1,0,,0,0,2
485,2,1,0,34,0,0,2
486,2,0,1,36,0,0,0
487,2,0,1,24,0,0,2
488,2,0,1,61,0,0,1
489,2,0,1,50,1,0,2
490,2,1,0,42,1,0,2
491,2,0,0,57,0,0,2
492,2,0,1,,0,0,0
493,2,1,1,1,0,2,0
494,2,0,1,31,1,1,0
495,2,1,0,24,1,1,0
496,2,0,1,,0,0,0
497,2,0,1,30,0,0,2
498,2,0,1,40,0,0,2
499,2,0,1,32,0,0,2
500,2,0,1,30,0,0,2
501,2,0,1,46,0,0,2
502,2,1,0,13,0,1,2
503,2,1,0,41,0,1,2
504,2,1,1,19,0,0,2
505,2,0,1,39,0,0,2
506,2,0,1,48,0,0,2
507,2,0,1,70,0,0,2
508,2,0,1,27,0,0,2
509,2,0,1,54,0,0,2
510,2,0,1,39,0,0,2
511,2,0,1,16,0,0,2
512,2,0,1,62,0,0,1
513,2,0,1,32.5,1,0,0
514,2,1,0,14,1,0,0
515,2,1,1,2,1,1,2
516,2,1,1,3,1,1,2
517,2,0,1,36.5,0,2,2
518,2,0,1,26,0,0,2
519,2,0,1,19,1,1,2
520,2,0,1,28,0,0,2
521,2,1,1,20,0,0,0
522,2,1,0,29,0,0,2
523,2,0,1,39,0,0,2
524,2,1,1,22,0,0,2
525,2,1,1,,0,0,0
526,2,0,1,23,0,0,2
527,2,1,1,29,0,0,0
528,2,0,1,28,0,0,2
529,2,0,1,,0,0,2
530,2,1,0,50,0,1,2
531,2,0,1,19,0,0,2
532,2,0,1,,0,0,0
533,2,0,1,41,0,0,2
534,2,1,0,21,0,1,2
535,2,1,0,19,0,0,2
536,2,0,1,43,0,1,2
537,2,1,0,32,0,0,2
538,2,0,1,34,0,0,2
539,2,1,1,30,0,0,0
540,2,0,1,27,0,0,0
541,2,1,0,2,1,1,2
542,2,1,0,8,1,1,2
543,2,1,0,33,0,2,2
544,2,0,1,36,0,0,2
545,2,0,1,34,1,0,2
546,2,1,0,30,3,0,2
547,2,1,0,28,0,0,2
548,2,0,1,23,0,0,0
549,2,1,1,0.8333,1,1,2
550,2,1,1,3,1,1,2
551,2,1,0,24,2,3,2
552,2,1,0,50,0,0,2
553,2,0,1,19,0,0,2
554,2,1,0,21,0,0,2
555,2,0,1,26,0,0,2
556,2,0,1,25,0,0,2
557,2,0,1,27,0,0,2
558,2,1,0,25,0,1,2
559,2,1,0,18,0,2,2
560,2,1,0,20,0,0,2
561,2,1,0,30,0,0,2
562,2,0,1,59,0,0,2
563,2,1,0,30,0,0,1
564,2,0,1,35,0,0,2
565,2,1,0,40,0,0,2
566,2,0,1,25,0,0,2
567,2,0,1,41,0,0,0
568,2,0,1,25,0,0,2
569,2,0,1,18.5,0,0,2
570,2,0,1,14,0,0,2
571,2,1,0,50,0,0,2
572,2,0,1,23,0,0,2
573,2,1,0,28,0,0,2
574,2,1,0,27,0,0,2
575,2,0,1,29,1,0,2
576,2,0,0,27,1,0,2
577,2,0,1,40,0,0,2
578,2,1,0,31,0,0,2
579,2,0,1,30,1,0,2
580,2,0,1,23,1,0,2
581,2,1,0,31,0,0,2
582,2,0,1,,0,0,2
583,2,1,0,12,0,0,2
584,2,1,0,40,0,0,2
585,2,1,0,32.5,0,0,2
586,2,0,1,27,1,0,2
587,2,1,0,29,1,0,2
588,2,1,1,2,1,1,2
589,2,1,0,4,1,1,2
590,2,1,0,29,0,2,2
591,2,1,0,0.9167,1,2,2
592,2,1,0,5,1,2,2
593,2,0,1,36,1,2,2
594,2,1,0,33,1,2,2
595,2,0,1,66,0,0,2
596,2,0,1,,0,0,2
597,2,1,1,31,0,0,2
598,2,1,1,,0,0,2
599,2,1,0,26,0,0,2
600,2,0,0,24,0,0,2
601,3,0,1,42,0,0,2
602,3,0,1,13,0,2,2
603,3,0,1,16,1,1,2
604,3,1,0,35,1,1,2
605,3,1,0,16,0,0,2
606,3,1,1,25,0,0,2
607,3,1,1,20,0,0,2
608,3,1,0,18,0,0,0
609,3,0,1,30,0,0,2
610,3,0,1,26,0,0,2
611,3,0,0,40,1,0,2
612,3,1,1,0.8333,0,1,2
613,3,1,0,18,0,1,2
614,3,1,1,26,0,0,0
615,3,0,1,26,0,0,2
616,3,0,1,20,0,0,2
617,3,0,1,24,0,0,2
618,3,0,1,25,0,0,2
619,3,0,1,35,0,0,2
620,3,0,1,18,0,0,2
621,3,0,1,32,0,0,2
622,3,1,0,19,1,0,2
623,3,0,1,4,4,2,2
624,3,0,0,6,4,2,2
625,3,0,0,2,4,2,2
626,3,1,0,17,4,2,2
627,3,0,0,38,4,2,2
628,3,0,0,9,4,2,2
629,3,0,0,11,4,2,2
630,3,0,1,39,1,5,2
631,3,1,1,27,0,0,2
632,3,0,1,26,0,0,2
633,3,0,0,39,1,5,2
634,3,0,1,20,0,0,2
635,3,0,1,26,0,0,2
636,3,0,1,25,1,0,2
637,3,0,0,18,1,0,2
638,3,0,1,24,0,0,2
639,3,0,1,35,0,0,2
640,3,0,1,5,4,2,2
641,3,0,1,9,4,2,2
642,3,1,1,3,4,2,2
643,3,0,1,13,4,2,2
644,3,1,0,5,4,2,2
645,3,0,1,40,1,5,2
646,3,1,1,23,0,0,2
647,3,1,0,38,1,5,2
648,3,1,0,45,0,0,0
649,3,0,1,21,0,0,0
650,3,0,1,23,0,0,2
651,3,0,0,17,0,0,0
652,3,0,1,30,0,0,0
653,3,0,1,23,0,0,2
654,3,1,0,13,0,0,0
655,3,0,1,20,0,0,0
656,3,0,1,32,1,0,2
657,3,1,0,33,3,0,2
658,3,1,0,0.75,2,1,0
659,3,1,0,0.75,2,1,0
660,3,1,0,5,2,1,0
661,3,1,0,24,0,3,0
662,3,1,0,18,0,0,2
663,3,0,1,40,0,0,0
664,3,0,1,26,0,0,2
665,3,1,1,20,0,0,0
666,3,0,0,18,0,1,0
667,3,0,0,45,0,1,0
668,3,0,0,27,0,0,1
669,3,0,1,22,0,0,2
670,3,0,1,19,0,0,2
671,3,0,1,26,0,0,2
672,3,0,1,22,0,0,2
673,3,0,1,,0,0,0
674,3,0,1,20,0,0,0
675,3,1,1,32,0,0,2
676,3,0,1,21,0,0,2
677,3,0,1,18,0,0,2
678,3,0,1,26,0,0,2
679,3,0,1,6,1,1,0
680,3,0,0,9,1,1,0
681,3,0,1,,0,0,0
682,3,0,0,,0,2,0
683,3,0,0,,0,2,1
684,3,0,1,40,1,1,1
685,3,0,0,32,1,1,1
686,3,0,1,21,0,0,2
687,3,1,0,22,0,0,1
688,3,0,0,20,0,0,2
689,3,0,1,29,1,0,2
690,3,0,1,22,1,0,2
691,3,0,1,22,0,0,2
692,3,0,1,35,0,0,2
693,3,0,0,18.5,0,0,1
694,3,1,1,21,0,0,1
695,3,0,1,19,0,0,1
696,3,0,0,18,0,0,1
697,3,0,0,21,0,0,2
698,3,0,0,30,0,0,2
699,3,0,1,18,0,0,2
700,3,0,1,38,0,0,2
701,3,0,1,17,0,0,2
702,3,0,1,17,0,0,2
703,3,0,0,21,0,0,1
704,3,0,1,21,0,0,1
705,3,0,1,21,0,0,2
706,3,0,1,,1,0,0
707,3,0,0,,1,0,0
708,3,0,1,28,0,0,2
709,3,0,1,24,0,0,2
710,3,1,0,16,0,0,1
711,3,0,0,37,0,0,1
712,3,0,1,28,0,0,2
713,3,0,1,24,0,0,2
714,3,0,1,21,0,0,1
715,3,1,1,32,0,0,2
716,3,0,1,29,0,0,2
717,3,0,1,26,1,0,0
718,3,0,1,18,1,0,0
719,3,0,1,20,0,0,2
720,3,1,1,18,0,0,2
721,3,0,1,24,0,0,1
722,3,0,1,36,0,0,2
723,3,0,1,24,0,0,2
724,3,0,1,31,0,0,1
725,3,0,1,31,0,0,1
726,3,1,0,22,0,0,1
727,3,0,0,30,0,0,1
728,3,0,1,70.5,0,0,1
729,3,0,1,43,0,0,2
730,3,0,1,35,0,0,2
731,3,0,1,27,0,0,2
732,3,0,1,19,0,0,2
733,3,0,1,30,0,0,2
734,3,1,1,9,1,1,2
735,3,1,1,3,1,1,2
736,3,1,0,36,0,2,2
737,3,0,1,59,0,0,2
738,3,0,1,19,0,0,2
739,3,1,0,17,0,1,2
740,3,0,1,44,0,1,2
741,3,0,1,17,0,0,2
742,3,0,1,22.5,0,0,0
743,3,1,1,45,0,0,2
744,3,0,0,22,0,0,2
745,3,0,1,19,0,0,2
746,3,1,0,30,0,0,1
747,3,1,1,29,0,0,1
748,3,0,1,0.3333,0,2,2
749,3,0,1,34,1,1,2
750,3,0,0,28,1,1,2
751,3,0,1,27,0,0,2
752,3,0,1,25,0,0,2
753,3,0,1,24,2,0,2
754,3,0,1,22,0,0,2
755,3,0,1,21,2,0,2
756,3,0,1,17,2,0,2
757,3,0,1,,1,0,2
758,3,1,0,,1,0,2
759,3,1,1,36.5,1,0,2
760,3,1,0,36,1,0,2
761,3,1,1,30,0,0,2
762,3,0,1,16,0,0,2
763,3,1,1,1,1,2,2
764,3,1,0,0.1667,1,2,2
765,3,0,1,26,1,2,2
766,3,1,0,33,1,2,2
767,3,0,1,25,0,0,2
768,3,0,1,,0,0,2
769,3,0,1,,0,0,2
770,3,0,1,22,0,0,2
771,3,0,1,36,0,0,2
772,3,1,0,19,0,0,1
773,3,0,1,17,0,0,2
774,3,0,1,42,0,0,2
775,3,0,1,43,0,0,2
776,3,0,1,,0,0,0
777,3,0,1,32,0,0,1
778,3,1,1,19,0,0,2
779,3,1,0,30,0,0,2
780,3,0,0,24,0,0,1
781,3,1,0,23,0,0,2
782,3,0,1,33,0,0,0
783,3,0,1,65,0,0,1
784,3,1,1,24,0,0,2
785,3,0,1,23,1,0,2
786,3,1,0,22,1,0,2
787,3,0,1,18,0,0,2
788,3,0,1,16,0,0,2
789,3,0,1,45,0,0,2
790,3,0,1,,0,0,0
791,3,0,1,39,0,2,0
792,3,0,1,17,1,1,0
793,3,0,1,15,1,1,0
794,3,0,1,47,0,0,2
795,3,1,0,5,0,0,2
796,3,0,1,,0,0,0
797,3,0,1,40.5,0,0,2
798,3,0,1,40.5,0,0,1
799,3,1,1,,0,0,2
800,3,0,1,18,0,0,2
801,3,0,0,,0,0,1
802,3,0,1,,0,0,1
803,3,0,1,,0,0,1
804,3,0,1,26,0,0,1
805,3,0,1,,0,0,1
806,3,1,1,,0,0,2
807,3,0,0,21,2,2,2
808,3,0,0,9,2,2,2
809,3,0,1,,0,0,2
810,3,0,1,18,2,2,2
811,3,0,1,16,1,3,2
812,3,0,0,48,1,3,2
813,3,0,1,,0,0,1
814,3,0,1,,0,0,2
815,3,0,1,25,0,0,1
816,3,0,1,,0,0,2
817,3,0,1,,0,0,0
818,3,0,1,22,0,0,2
819,3,1,0,16,0,0,1
820,3,1,0,,0,0,1
821,3,1,1,9,0,2,2
822,3,0,1,33,1,1,2
823,3,0,1,41,0,0,2
824,3,1,0,31,1,1,2
825,3,0,1,38,0,0,2
826,3,0,1,9,5,2,2
827,3,0,1,1,5,2,2
828,3,0,1,11,5,2,2
829,3,0,0,10,5,2,2
830,3,0,0,16,5,2,2
831,3,0,1,14,5,2,2
832,3,0,1,40,1,6,2
833,3,0,0,43,1,6,2
834,3,0,1,51,0,0,2
835,3,0,1,32,0,0,2
836,3,0,1,,0,0,2
837,3,0,1,20,0,0,2
838,3,0,1,37,2,0,2
839,3,0,1,28,2,0,2
840,3,0,1,19,0,0,2
841,3,0,0,24,0,0,2
842,3,0,0,17,0,0,1
843,3,0,1,,1,0,2
844,3,0,1,,1,0,2
845,3,0,1,28,1,0,2
846,3,1,0,24,1,0,2
847,3,0,1,20,0,0,2
848,3,0,1,23.5,0,0,0
849,3,0,1,41,2,0,2
850,3,0,1,26,1,0,2
851,3,0,1,21,0,0,2
852,3,1,0,45,1,0,2
853,3,0,0,,0,0,2
854,3,0,1,25,0,0,2
855,3,0,1,,0,0,1
856,3,0,1,11,0,0,0
857,3,1,0,,0,0,1
858,3,1,1,27,0,0,2
859,3,1,1,,0,0,2
860,3,0,0,18,0,0,1
861,3,1,0,26,0,0,2
862,3,0,0,23,0,0,2
863,3,1,0,22,0,0,2
864,3,0,1,28,0,0,2
865,3,0,0,28,0,0,2
866,3,0,0,,0,0,1
867,3,1,0,2,0,1,2
868,3,1,0,22,1,1,2
869,3,0,1,43,0,0,2
870,3,0,1,28,0,0,2
871,3,1,0,27,0,0,2
872,3,0,1,,0,0,1
873,3,1,0,,0,0,2
874,3,0,1,42,0,0,2
875,3,1,1,,0,0,2
876,3,0,1,30,0,0,0
877,3,0,1,,0,0,2
878,3,0,0,27,1,0,2
879,3,0,0,25,1,0,2
